"plot","soil_temp_c","soil_moist_percent","date"
"571","UP_2",5.3,49.1,2023-03-22
"572","UP_2",5.3,43.1,2023-03-22
"573","UP_2",5.3,49.1,2023-03-22
"574","UP_2",5.3,43.1,2023-03-22
"575","UP_2",5.3,49.1,2023-03-22
"576","UP_2",5.3,43.1,2023-03-22
"577","UP_1",5.2,53.3,2023-03-22
"578","UP_1",5.2,53.3,2023-03-22
"579","UP_1",5.2,53.3,2023-03-22
"580","UP_1",4.9,52.4,2023-03-22
"581","UP_1",4.9,54.7,2023-03-22
"582","UP_1",4.9,52.4,2023-03-22
"583","UP_1",4.9,54.7,2023-03-22
"584","UP_1",4.9,52.4,2023-03-22
"585","UP_1",4.9,54.7,2023-03-22
"586","UP_1",4.8,54.1,2023-03-22
"587","UP_1",4.8,54.1,2023-03-22
"588","UP_1",4.8,54.1,2023-03-22
"589","SW_1",NA,NA,2022-07-09
"590","SW_1",NA,NA,2022-07-09
"591","SW_1",NA,NA,2022-07-09
"592","SW_2",NA,NA,2022-07-09
"593","SW_2",NA,NA,2022-07-09
"594","SW_2",NA,NA,2022-07-09
"595","SW_2",NA,NA,2022-07-09
"596","UP_1",NA,NA,2022-07-09
"597","UP_1",NA,NA,2022-07-09
"598","UP_1",NA,NA,2022-07-09
"599","UP_1",NA,NA,2022-07-09
"600","UP_2",NA,NA,2022-07-09
"601","UP_2",NA,NA,2022-07-09
"602","UP_2",NA,NA,2022-07-09
"603","UP_2",NA,NA,2022-07-09
"604","SW_1",NA,NA,2022-07-09
"605","SW_1",NA,NA,2022-07-09
"606","SW_1",NA,NA,2022-07-09
"607","SW_2",NA,NA,2022-07-09
"608","SW_2",NA,NA,2022-07-09
